C_ID,C_TAX_ID,C_GNDR,C_TIER,C_DOB,C_L_NAME,C_F_NAME,C_M_NAME,C_ADLINE1,C_ADLINE2,C_ZIPCODE,C_CITY,C_STATE_PROV,C_CTRY,C_PRIM_EMAIL,C_ALT_EMAIL,C_CTRY_CODE_1,C_AREA_CODE_1,C_LOCAL_1,C_EXT_1,C_CTRY_CODE_2,C_AREA_CODE_2,C_LOCAL_2,C_EXT_2,C_CTRY_CODE_3,C_AREA_CODE_3,C_LOCAL_3,C_EXT_3,C_LCL_TX_ID,C_NAT_TX_ID,CA_ID,CA_TAX_ST,CA_B_ID,CA_NAME
0,923-54-6498,F,3,1940-12-02,Joannis,Adara,,4779 Weller Way,,92624,Columbus,Ontario,Canada,Adara.Joannis@moose-mail.com,Adara.Joannis@gmx.com,1,872,523-8928,,,,492-3961,,,,,,CA3,YT3,1,1,15746,CJlmMuFyibKOmKLHIaTeWugvCgZdmcfpDsYb
1,645-68-9627,F,3,1982-12-17,Paperno,Jirina,P,7216 Gates Avenue,,H5K 1Q9,Inglewood,WI,United States of America,Jirina.P.Paperno@ip6.li,Jirina.P.Paperno@devils.com,,,767-4707,,,,,,,,,,BC6,NU7,2,1,15467,BbxTgVGOlgyrYtVRjsXDJKmKDUp s ApIzUvH nFk
2,332-28-3838,,3,1994-06-08,McBryan,Mariam,,12566 Misty Upper,,78220,Berkeley,Saskatchewan,United States of America,Mariam.McBryan@aggies.com,Mariam.McBryan@shtrudel.tv,,420,757-3642,61998,,,811-7498,,,,,,NY4,IA1,1,1,13243,IGzIDNTTRUDKwGaoVczrTMFJYIxSzLxJVLulovjqdqH j
3,472-49-1339,B,3,1944-09-01,Adey,Robinia,L,12513 Wesleyan Boulevard,,H2C 1Z2,Hull,AL,United States of America,Robinia.L.Adey@12Freeukisp.co.uk,Robinia.L.Adey@icqmail.com,1,819,163-0774,,,777,787-1085,,,,,,WI4,MO1,1,1,9688,ZHXwHtCcLZqdWhWOPSWWSsvHxqBuIbXSTRTIIGzFENztrH
4,700-39-4024,m,,1999-09-22,Haubert,Lulu,,6066 Fillmore Lower,,10044,Rancho Cucamonga,OR,United States of America,Lulu.Haubert@buffaloes.com,,,,734-4072,,,,713-2893,,,,,,ON4,MB7,1,1,11326,mzlYZlTIDmOGuKQHOEFTaOGNiAQcjtE
5,375-32-5901,F,3,1949-11-25,Wandscher,Gaffney,,10792 Trail Lake Road,,M1G 1P3,Moreno Valley,ME,Canada,Gaffney.Wandscher@stoned.com,Gaffney.Wandscher@peacemail.com,,667,588-0328,,,,196-0005,,,,,,IL1,PE5,1,1,22978,rR iCGwaSKEiTWArprcmNAqGzaMITEn nCtaCoPkZlk tcI
6,421-96-4908,f,3,1946-08-11,Pokrifcak,Julien,X,3594 Mitchell North,,M9F 1U7,Lubbock,MO,United States of America,Julien.X.Pokrifcak@kify.net,,1,475,246-3524,,,,904-3398,03154,,,,,IA7,MB8,2,1,11346,iZoVJuWQBhqnROA vdWHcIVjugulsjZDxWWStlSpPRNY
7,827-09-7446,F,3,1943-05-19,Ayukawa,Riyad,,15520 Ledgestone Upper,,V6C 1P2,St. Paul,Manitoba,United States of America,Riyad.Ayukawa@spamavert.com,Riyad.Ayukawa@born2frag.de,,,466-5901,,,,672-0894,,,,,,MS3,SK3,1,1,4101,bEMkkm vEtVuANcCDoJKOJYPmDaF VjfGqCTAV
8,483-77-1213,,,1958-01-15,Turcotte,Phuong,,11293 Rice Avenue,,M5C 1X6,Pomona,CT,Canada,Phuong.Turcotte@myfastmail.com,,,,540-4805,,,,541-8177,,,,874-0060,,BC8,NU1,2,1,20529,cEuiYDQgxRUGtGKIUHDldqVELHWGqBdtzwVWFHyTpXBrCi
9,135-51-0161,f,,1954-04-04,Nadolny,Sarah,P,11618 Jack North,,90055,Chicago,NC,United States of America,Sarah.P.Nadolny@europe.com,,,230,135-8787,,,,709-5857,,,661,179-6118,,NS4,BC8,1,1,2648,onkJdGkjJZaqkyTHpwBiUGTqVnMH pICrPBcAGUbaPdJZU
10,030-52-1460,,3,1943-09-01,Gannon,Charene,,3388 Concord Crescent,,80072,Fairbanks,MA,Canada,Charene.Gannon@lavabit.com,Charene.Gannon@gmx.es,,,444-6160,,,,,,,,,,IA9,OH6,1,1,2484,XqXAwgQVDMSwCiOXSONPyAFlUFUujbAaB
11,031-63-6387,F,3,1987-12-25,McCullogh,Lilli,,673 Edloe Park,,35259,Winnipeg,OK,United States of America,Lilli.McCullogh@kify.net,Lilli.McCullogh@gmx.ph,,408,066-3019,,,,186-6059,,,,116-4104,,ME2,NB4,1,1,9937,QfGNdiMERNAVFQPQFAKsKWelDhjLHhgQZBTssRZTss
12,288-68-4492,,3,1965-11-02,French,Carolien,,10070 Glenview Boulevard,,V6C 1T6,Greensboro,AL,United States of America,Carolien.French@hushmail.com,Carolien.French@gmx.hk,1,513,456-0545,,,,878-0891,,,,,,NF2,IA1,1,1,16920,ryheEMXIGKPPIHYJJnPiQwvrUqoQKH FdingOpVYtD
13,570-67-1101,,2,1983-04-16,Limerick,Heidie,D,19412 Broad Lower,,20019,Irvine,NE,United States of America,Heidie.D.Limerick@privacyharbor.com,,,,965-9648,,,708,168-3038,,,,,,NJ1,ID8,2,1,17687,XcECvSAGJcgPvBbBtIZLUyELzKxAKNcfQasKlS
14,311-17-1331,,3,2005-09-01,Doggett,Greg,F,10436 Ingersoll Upper,,B8A 1Z9,Richmond,IA,United States of America,Greg.F.Doggett@teancum.net,Greg.F.Doggett@hushmail.com,,835,439-8688,,,,210-2860,,,,,,MO7,YT4,2,1,19751,dbsOWBJCsvjzrBJRTAQ PixQGHoxsDRmxIzNVQzHMOtH
15,433-49-0015,m,3,2004-02-06,Kletchko,Fawn,,4410 Porter Road,,53739,Overland Park,UT,United States of America,Fawn.Kletchko@icqmail.com,Fawn.Kletchko@mail2world.com,,555,012-1845,,,,,,,,,,RI1,OR2,1,1,15876,
16,810-93-4490,,2,1963-01-08,Bamfo,Gary,,14930 Griffin Upper,,H7H 1V5,Warren,OH,United States of America,Gary.Bamfo@doctor.com,Gary.Bamfo@teancum.net,1,617,293-5320,,,,091-2273,,,,,,ID5,NY1,1,1,13307,dFUR GKSWBLWWfLNkMNmgrMktKyLoVaniwoMT uCyoBuZd
17,152-80-4665,f,2,2008-02-11,Litz,Judith,,6337 Tangle Brush Boulevard,,85087,Santa Clara,British Columbia,United States of America,Judith.Litz@moose-mail.com,Judith.Litz@privacyharbor.com,,,140-9778,,,,,,1,299,951-0226,,AB5,TX1,1,1,9818,RPAhHPxoqZNpNJdsQJwyTjIvKlcgShksFPya jSr JNoRm
18,739-93-2338,F,2,1991-08-21,Boucouris,Maitilde,,18354 Dodd Court,,90042,Savannah,ID,United States of America,Maitilde.Boucouris@shtrudel.org,,,,237-9338,,,820,615-5831,,,,285-7926,,NU6,DE2,1,1,19748,vK FcKnxHFwIBGNHnEIxUYIvSGtzTnBxLIVKaGT
19,102-46-5704,,3,1969-12-22,Paquette,Sukhendu,,19015 Chennault Lane,,M6S 1G8,North Las Vegas,ND,Canada,Sukhendu.Paquette@mac.hush.com,,,,102-2175,,1,884,125-7430,,,,,,MT4,NS8,2,1,4715,dPNTixFwTKLkqookrExDxkKJaEWjDgBCJAHOoVmKAZq
20,824-42-1232,m,3,2008-11-07,Coppins,Drucill,,911 Topple Drive,,21707,Winston-Salem,OK,Canada,Drucill.Coppins@yahoo.com,Drucill.Coppins@spamavert.com,,403,386-7631,,,,964-5176,,,,057-4032,,NB7,AB5,1,1,23517,FXHiaOLVYyWUGnRkdSXFJTTlkLDcGWtVQAMJZ
21,363-72-8039,,2,1922-04-01,Gorman,Thakor,,12727 Hayden Crescent,,98420,New Haven,Manitoba,United States of America,Thakor.Gorman@hush.ai,Thakor.Gorman@gmx.sg,,349,850-0411,,,303,174-5965,,,,180-5150,26701,NH1,MD3,1,1,11493,UuG fIROYVntolSdTKWcnGqVVIejQlIfuXiZuSVsskBHRTxRJ
22,529-50-8384,,2,1998-12-28,Caron,Carole,,8536 Annapolis Avenue,,80123,Augusta,MI,United States of America,Carole.Caron@peacemail.com,,,,856-6458,,,,582-9481,,,,383-1537,,DE5,ON6,1,1,1321,fxFMPDxUAEFDaRDptPAJkAPDCMx CidxPrfrGA
23,495-35-8036,,2,1941-06-10,Kamerson,Mrugesh,S,12769 Allen Park,,57101,Lewiston,AK,United States of America,Mrugesh.S.Kamerson@netdove.net,,,,360-7377,,1,517,284-2994,,,,,,OH8,NE3,1,1,3279,EkkltGIZbcjiuLpDBPTtSmi jHiRrRgNRnsofJiCFLBD
24,533-95-5764,F,3,2016-09-06,Events,Thanh-Ha,X,12387 Saunders West,,Y5C 1M6,Riverside,TN,United States of America,Thanh-Ha.X.Events@mac.hush.com,,,,582-5895,,1,398,798-2139,,,,308-4828,,CN1,AL3,1,1,17258,IeloCNtuDCObFgNLsCFNTxLExrSCCLFceFNdFvDUF
25,916-72-1286,,3,1924-09-03,Sellwood,Renate,W,7944 Nealy North,,62701,Amarillo,NV,United States of America,Renate.W.Sellwood@SaveWildlife.com,Renate.W.Sellwood@aggies.com,1,296,526-0324,,,,555-9889,,,888,558-3335,,SK8,WI4,1,1,16418,SoaSVWkPvdBHKIvsilZfKLehifhfjLHpXGmoM
26,635-50-8107,,3,1947-07-28,Garg,Pierrick,,9711 Arcana Road,,M4L 1N8,San Francisco,SD,United States of America,Pierrick.Garg@macgui.com,,,,254-9848,,1,587,935-8512,,,,,,IA9,DE7,2,1,17326,JUTckJdLEQuZAMAqRQJzFlCLFBJrThN
27,824-00-1639,M,2,1962-04-30,Minyard,Natver,Z,4321 Penmar South,,E7N 1M8,Riverside,Nova Scotia,United States of America,Natver.Z.Minyard@vfemail.net,,1,243,977-9754,,,,552-4954,,,,,,OK6,YT4,1,1,3177,MCExPSmOuIVTpqVJEnWfjzitFPmRdl
28,175-89-2978,M,3,1961-11-23,Harris,Dido,,9828 West East,,V6K 1S4,Montreal,WA,United States of America,Dido.Harris@gmx.pt,,,,603-1794,,,,,,,,,,SK2,AR4,1,1,16367,phYZWHVFNmBOScKjoicbAzviLfJhDmRGXGBDcVZOQRMTIbtAtD
29,624-42-7155,F,2,2008-03-12,Frosst,Shobana,H,11478 Cantrell Road,,77294,Ontario,CO,United States of America,Shobana.H.Frosst@mailmaniacs.com,Shobana.H.Frosst@gmx.fr,,,280-4062,,,337,684-3978,,,,583-3885,,IN1,ID8,2,1,14153,RNCabjm LEeURcUMJJuSbcbhpVFBeAkWKCCmeNPpHDTU
30,407-05-6737,,1,1928-09-27,Voight,Vijya,,19532 Goodwin Way,,97402,Whitehorse,KY,United States of America,Vijya.Voight@lavabit.com,,,,429-5581,,,,,,,,,,CN2,NT6,1,1,5916,wyEIiAOmlVgNLjoIjRTZhazLPZpIldrIR
31,407-60-4362,m,2,1985-08-29,Mia,Mysore,,24007 Minot South,,M4J 1O7,Waco,FL,United States of America,Mysore.Mia@shtrudel.net,,,984,285-5249,,,,392-3318,74476,,,221-0202,,HI4,NB2,1,1,10323, KmKCJwAEpValIyGwPHAtnICvIKzRUlMLVAgDvSPKPfKBE mfL
32,638-76-1189,f,3,1972-03-09,Paris,Odella,W,1584 Emmonds Rue,,M5A 1X9,Yonkers,Quebec,United States of America,Odella.W.Paris@gmx.it,Odella.W.Paris@gmx.co.uk,,,370-7646,,,,793-9782,,,,209-9664,,BC10,DE1,2,1,24090,VGABcjKGxRifXyaUXlcCMocEkKZXMAvLBhSBVYQ
33,724-05-1065,f,3,1990-10-20,Pevec,Nedi,,7944 Nealy North,,80194,West Covina,Nova Scotia,United States of America,Nedi.Pevec@box.az,Nedi.Pevec@farce.de,,,678-3289,,,,778-8982,,,,,,VA1,NB3,2,1,12404,uzYTDI BHmNHCDRBwNjZpToWxPawVOomsxD
34,944-22-9464,,2,2017-06-05,Fenn,Lab,,2297 Amsterdam Court,,40210,Fremont,FL,United States of America,Lab.Fenn@mail2world.com,Lab.Fenn@quake0.de,,,914-8373,,,,060-1178,,,,,,CA6,MN1,2,1,19563,EibcHiVhAVeeFdmNJKiTKEpeAdfWlPHswEK wWIEFOPyFBSkLq
35,968-20-1686,M,3,1929-07-14,Hambali,Alexandrina,J,13626 Hawkins Street,,36607,Ontario,AK,United States of America,Alexandrina.J.Hambali@shtrudel.biz,Alexandrina.J.Hambali@gmx.sg,1,790,889-7499,,1,653,471-1229,,,,960-5021,46308,UT3,CA1,1,1,11169,KdTynyQVwXjAowvqaPXXUCmaEMpxCvKPfqQGbccArV
36,655-85-8227,,1,1941-06-23,Myer,Ailsun,,20211 Electra Drive,,67216,Fremont,CT,United States of America,Ailsun.Myer@mail2world.com,,,285,261-9764,,,789,417-9356,,,,,,MO1,ID8,1,1,10084,QGjWrM PNcLIKLTcOqECoWPzdPvGhNsqGC
37,558-28-7727,,3,2004-11-26,Bohner,Salome,,22674 Glen Ivy East,,77128,Tulsa,KS,United States of America,Salome.Bohner@gmx.ph,Salome.Bohner@hushmail.com,,365,935-6326,,1,505,379-9161,,,,,,MN1,ON5,2,1,14771,cIyfZoOluhySIBHkLMHHFBqpoMcKsRxfWNqkrBUB sPJhIUY 
38,829-09-4569,m,2,1959-05-16,Bridges,Dia-Edin,N,23788 Linden Drive,,78748,Sacramento,MD,United States of America,Dia-Edin.N.Bridges@webmail.co.za,,1,343,703-4789,,1,238,397-8614,,,,,,OK7,US1,1,1,7877,rjEtaogjSmOKmCGbtGHVWVhovOPTPlDdElGUHXMjYt
39,680-12-4306,F,1,2003-02-02,Markovic,Anne,N,14266 Lemming South,,10217,Montpelier,CT,United States of America,Anne.N.Markovic@macgui.com,,1,523,052-1733,,,,365-7234,,,,,,AL1,AR1,1,1,14324,iplODNXjgMRubRQPYxBRxTrrxUZNevNzmQUAkMkycKKPnGqCN
40,307-12-3214,f,1,1996-01-25,Orgren-Streb,Koressa,D,23781 King South,,M5D 1Y2,Jackson,Newfoundland,United States of America,Koressa.D.Orgren-Streb@devils.com,,,,367-8336,,,,,,,,,,ID3,NM1,1,1,16466,nNAOLSDQRBWVIrZBpziTilGvGmzY OwNdaykgCNoeUxFdcr
41,456-26-7843,f,2,1919-10-12,Crawshaw,Blythe,V,21185 4th South,,M5G 1V4,Fort Collins,SC,United States of America,Blythe.V.Crawshaw@gawab.com,,1,966,196-7621,,,,,,,,,,ON7,NT3,1,1,22518,rSaJDbUzCFTfBRUiDWZjYJXevsfRzWtKk
42,234-00-6692,,3,1957-09-03,Guty,Ram,,15258 Winter Oaks Boulevard,,90506,Rancho Cucamonga,HI,United States of America,Ram.Guty@kify.net,,1,615,409-1958,,,,632-3217,,,,,,NU1,UT1,2,1,7000,yAMIBlzzQPXNMlKLYWtCqUQqVDabDFDKXdPwBQQi zEOGQSJe
43,271-67-8004,,2,1944-04-15,Brivins,Hoekstra,,3384 Smithdale Crescent,,53225,Beaumont,RI,Canada,Hoekstra.Brivins@europe.com,Hoekstra.Brivins@vegemail.com,1,814,934-7667,,,550,694-4576,,1,321,800-4139,,MB2,YT2,1,1,5493,HSDmAzjIJNIwsKZJRIbJlPjNIqQYFwPNPTLKXoHg
44,967-00-4632,,2,1953-01-12,Nicandro,Jock,B,13493 Turtle Creek South,Apt. 202,19149,Salt Lake City,MA,United States of America,Jock.B.Nicandro@rediffmail.com,,,,836-1386,,,845,810-0126,,,,,,KY4,DE2,1,1,13147,EwFTGWlJFWFQGuEkMHUMSNIiwKpwOpVFbFLiZ
45,233-68-9101,,3,1934-08-04,Christy,Benny,V,2504 Idlewild Rue,,T6A 1D2,Waco,CO,United States of America,Benny.V.Christy@deadaddress.com,Benny.V.Christy@mac.hush.com,,,607-9444,,,235,282-2644,,,,,,NS10,NF3,1,1,23459,mFbiLkzgpTgTLIJimyjXYamPoDzDXOTnlQ
46,552-93-6622,,2,2003-02-20,Flynn,Hui,,3744 Peachtree Court,,T5B 1O7,Mount Pearl,MO,United States of America,Hui.Flynn@operamail.com,,,449,099-9655,,,,285-2874,23169,,,,,AZ5,NC1,0,1,9641,EJMjnUjQFjQzFXJuRMosEOVyWEUckjPeEGN
47,147-10-8829,,2,1988-06-06,Hightower,Sameh,,20405 Dowlen North,,70135,El Paso,KY,United States of America,Sameh.Hightower@vegemail.com,,,430,814-2223,,,,208-0433,,,,,,MO1,ON1,1,1,15617,ocJDaiNGUbYtwtsErilgfUMjOzKKbAlHUFscQCZnenBxXPHP
48,673-79-3037,,2,1924-02-05,Roman,Chungsik,,6038 Norman West,,X5F 1U1,Las Cruces,AL,United States of America,Chungsik.Roman@vegemail.com,Chungsik.Roman@lpemail.com,,,990-6125,,,480,646-8100,,,,325-8841,,OK1,NC2,1,1,5554,FEmNpDwSGQqpRDvxHGFK aAUZEARUxIjLTFsgRiTtXfePeV I
49,540-96-8970,,3,1984-11-18,Wayman,Adrienne,,18013 Tiffany Way,Apt. 13,90896,San Jose,SD,United States of America,Adrienne.Wayman@gmx.hk,,,,546-8861,,,,302-0027,,,,,,OK7,IA5,1,1,10981,bvJmFoPqvmXxgCxlOlJHvNGiptINeCqHUKtRxNqAspTP
50,021-92-5107,,2,2000-11-27,Gavens,Wilhelmus,,6528 Pembrook North,,85218,Alexandria,New Brunswick,United States of America,Wilhelmus.Gavens@gmx.it,Wilhelmus.Gavens@gmx.pt,,285,713-4878,,,,096-8383,,,,,,MO4,YT5,1,1,15337,tGHNysjMSwOCIGIwPvOGnvwrfprqSjtMI
51,746-23-5767,F,3,1963-11-06,Metrics,Simon,U,16629 Commerce Avenue,,38133,Pittsburgh,RI,United States of America,Simon.U.Metrics@lavabit.com,Simon.U.Metrics@ip6.li,1,234,002-9442,,,,794-3146,,,,,,AL2,OK8,1,1,16514,SiqfHiMVMnzn ELOisJHapXEIsGCzzGvxqbVyQ
52,165-88-7745,,3,1942-10-08,Schnirer,Aurea,N,19424 Verde Street,,V6I 1U2,Halifax,IA,United States of America,Aurea.N.Schnirer@4uchat.de,Aurea.N.Schnirer@vfemail.net,,,769-5474,24444,,,,,,,,,NJ4,NU5,1,1,17872,gtRaqDoFTRaiDIvOlJiawIGOfOrVFh
